time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1708009870958567400,49.7405673828125,0.9747412800788879,0.007150435354560614,-0.013341560959815979,0.22282353043556213,0.02920079417526722,-0.007994106039404869,-2.6920039653778076
1708009870977123000,49.759123046875,0.974485456943512,0.0067884051240980625,-0.013332629576325417,0.22395160794258118,0.029030298814177513,-0.007258739788085222,-2.689701557159424
1708009870995665700,49.77766577148437,0.974454402923584,0.005840872880071402,-0.012374443002045155,0.22416846454143524,0.026738982647657394,-0.005835441872477531,-2.6892921924591064
1708009871014234400,49.796234375,0.9746646285057068,0.006082055624574423,-0.01204214058816433,0.22326423227787018,0.02619345299899578,-0.00647881580516696,-2.6911423206329346
1708009871032790000,49.8147900390625,0.9747079014778137,0.006589802447706461,-0.01294420100748539,0.22300995886325836,0.02817724645137787,-0.007072952575981617,-2.6916425228118896
1708009871051332600,49.83333251953125,0.9744691848754883,0.0061688730493187904,-0.013324122875928879,0.22404101490974426,0.028736537322402,-0.00605248985812068,-2.6895384788513184
1708009871069901000,49.85190112304687,0.9743914008140564,0.005258586723357439,-0.012583312578499317,0.22444498538970947,0.026886193081736565,-0.004599337000399828,-2.6887412071228027
1708009871088456700,49.870456787109376,0.9745963215827942,0.005045918747782707,-0.0123284962028265,0.22357213497161865,0.02629014104604721,-0.004322864580899477,-2.6905393600463867
1708009871106999600,49.88899951171875,0.9747139811515808,0.00601690961048007,-0.013126212172210217,0.22298911213874817,0.028276272118091583,-0.00587556092068553,-2.691702365875244
1708009871125568000,49.907568115234376,0.9744827747344971,0.006008434109389782,-0.013734947890043259,0.2239612638950348,0.029464971274137497,-0.005558067001402378,-2.6897048950195312
1708009871144123600,49.92612353515625,0.9742512106895447,0.005280502140522003,-0.012787992134690285,0.2250402569770813,0.02729775570333004,-0.004533460363745689,-2.6875178813934326
1708009871162679300,49.94467919921875,0.9743941426277161,0.005110911093652248,-0.011900666169822216,0.22447356581687927,0.025489438325166702,-0.004617329686880112,-2.688689708709717
1708009871181235000,49.96323486328125,0.9745876789093018,0.006239692214876413,-0.012593695893883705,0.22356536984443665,0.027341268956661224,-0.006531272083520889,-2.690516233444214
1708009871199777500,49.981777587890626,0.9744476079940796,0.006870151963084936,-0.013879701495170593,0.22408026456832886,0.030134350061416626,-0.007168933749198914,-2.6894309520721436
1708009871218346200,50.00034619140625,0.9742187261581421,0.0064117517322301865,-0.013702836818993092,0.22509801387786865,0.02959057316184044,-0.006323976442217827,-2.687359094619751
1708009871236902000,50.01890185546875,0.9742887616157532,0.005820886231958866,-0.0129699083045125,0.22485430538654327,0.02789461426436901,-0.005509796552360058,-2.6878821849823
1708009871255457500,50.03745751953125,0.974471926689148,0.006222649477422237,-0.013428700156509876,0.22402136027812958,0.028964385390281677,-0.006111001130193472,-2.6895763874053955
1708009871274013200,50.05601318359375,0.9743909239768982,0.00664895074442029,-0.014731181785464287,0.22427913546562195,0.031696248799562454,-0.006349603645503521,-2.689025402069092
1708009871292568800,50.07456884765625,0.9741853475570679,0.006128489505499601,-0.014842218719422817,0.2251778095960617,0.03168388083577156,-0.005256317090243101,-2.6871986389160156
1708009871311124500,50.09312451171875,0.9741829037666321,0.0050139231607317924,-0.014210160821676254,0.22525706887245178,0.029950084164738655,-0.0033670843113213778,-2.6870760917663574
