time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1708009822528549000,1.310549072265625,0,0.7592759728431702,6.087565898895264,8.47599983215332,0,0,240.09999084472656,37.5395694,55.6517371
1708009823306085400,2.08808544921875,6.939493656158447,0.6303173899650574,4.279333591461182,6.874000072479248,0.23971454799175262,86.00386047363281,242.39999389648438,37.5395891,55.6516886
1708009824306084000,3.088083984375,88.52059173583984,1.125077724456787,4.266777038574219,6.111999988555908,0.27988579869270325,251.448486328125,242.39999389648438,37.5396041,55.6516428
1708009825307729200,4.089729248046875,45,0.08062257617712021,4.256767272949219,5.696000099182129,0.2757194936275482,246.98431396484375,242.39999389648438,37.5396094,55.6516091
1708009826306776600,5.088776611328125,45,0.08062257617712021,4.266766548156738,5.415999889373779,1.4433653354644775,158.98052978515625,242.39999389648438,37.5396302,55.6515856
1708009827306418700,6.088418701171875,45,0.08062257617712021,4.276769638061523,5.21999979019165,1.992924451828003,156.8055877685547,242.39999389648438,37.5396443,55.6515674
1708009828306296000,7.088296142578125,45,0.08062257617712021,3.8913512229919434,4.339000225067139,1.8150737285614014,156.5291748046875,242.39999389648438,37.5396547,55.6515541
1708009829306362400,8.0883623046875,45,0.08062257617712021,3.899719715118408,4.228000164031982,1.6874593496322632,156.97177124023438,242.39999389648438,37.5396633,55.6515421
1708009830307634700,9.089634765625,45,0.08062257617712021,3.8999521732330322,4.185999870300293,1.4535093307495117,159.3479766845703,242.39999389648438,37.5396651,55.6515345
1708009831306233300,10.0882333984375,45,0.08062257617712021,3.9099645614624023,4.09499979019165,1.3017195463180542,160.86767578125,242.39999389648438,37.5396673,55.6515274
1708009832305872100,11.0878720703125,45,0.08062257617712021,3.919949769973755,4.0289998054504395,1.1831122636795044,161.9877166748047,242.39999389648438,37.5396694,55.651521
1708009833306981000,12.088981201171874,45,0.08062257617712021,3.8726930618286133,3.940999984741211,1.032773494720459,164.2389373779297,242.39999389648438,37.5396679,55.6515172
1708009834306273800,13.088273681640626,45,0.08062257617712021,3.8840441703796387,3.934000015258789,0.8840168118476868,167.4068145751953,242.39999389648438,37.5396645,55.6515149
1708009835306461200,14.088461181640625,45,0.08062257617712021,3.8943607807159424,3.9119999408721924,0.723560094833374,170.14382934570312,242.39999389648438,37.5396611,55.6515151
1708009836305685800,15.087685791015625,45,0.08062257617712021,3.904378890991211,3.9000000953674316,0.5878404378890991,172.09210205078125,242.39999389648438,37.5396589,55.6515158
1708009837306525000,16.08852490234375,45,0.08062257617712021,3.9143564701080322,3.9000000953674316,0.47223716974258423,173.7084197998047,242.39999389648438,37.5396573,55.6515169
1708009838306804200,17.08880419921875,45,0.08062257617712021,4.537472248077393,3.9000000953674316,0.3741602599620819,174.880615234375,240.29998779296875,37.5396563,55.6515181
1708009839306850300,18.088850341796874,45,0.08062257617712021,4.545192718505859,3.9059998989105225,0.30079054832458496,175.64756774902344,240.29998779296875,37.5396557,55.6515189
1708009840306909700,19.08890966796875,45,0.08062257617712021,4.556668758392334,3.9059998989105225,0.24242724478244781,175.65243530273438,240.29998779296875,37.5396556,55.6515196
1708009841306280200,20.0882802734375,45,0.08062257617712021,4.566662788391113,3.9059998989105225,0.19727253913879395,175.59597778320312,240.29998779296875,37.5396556,55.65152
1708009842305973000,21.087972900390625,45,0.08062257617712021,4.576691627502441,3.9049999713897705,0.16058214008808136,175.76809692382812,240.29998779296875,37.5396555,55.6515203
1708009843305347800,22.087347900390625,45,0.08062257617712021,4.293155670166016,3.9049999713897705,0.131501704454422,176.75303649902344,240.1999969482422,37.5396552,55.6515206
1708009844306884400,23.08888427734375,45,0.08062257617712021,4.299780368804932,3.9000000953674316,0.1077478677034378,177.45323181152344,240.1999969482422,37.5396551,55.6515208
1708009845306424600,24.088424560546876,0,0.08062257617712021,4.303351879119873,3.9000000953674316,0.08809380978345871,0,240.1999969482422,37.5396549,55.6515209
1708009846306678500,25.088678466796875,0,0.08062257617712021,4.313350677490234,3.9000000953674316,0.07044655829668045,0,240.1999969482422,37.5396547,55.6515212
1708009847306099500,26.088099365234374,0,0.08062257617712021,4.3233466148376465,3.9000000953674316,0.05670418217778206,0,240.1999969482422,37.5396545,55.6515214
1708009848306617000,27.0886171875,0,0.08062257617712021,4.2403411865234375,3.9000000953674316,0.04424741864204407,0,242.39999389648438,37.5396544,55.6515216
1708009849306875600,28.088875732421876,0,0.08062257617712021,4.250019073486328,3.9000000953674316,0.03488383814692497,0,242.39999389648438,37.5396542,55.6515217
1708009850306517200,29.088517333984374,0,0.08062257617712021,4.259476661682129,3.9000000953674316,0.028680812567472458,0,242.39999389648438,37.5396541,55.6515218
1708009851306838800,30.0888388671875,0,0.08062257617712021,4.269453048706055,3.9000000953674316,0.022559724748134613,0,242.39999389648438,37.5396541,55.6515219
1708009852305764600,31.0877646484375,0,0.08062257617712021,4.279452800750732,3.9000000953674316,0.018612856045365334,0,242.39999389648438,37.539654,55.6515219
1708009853307509800,32.089509765625,0,0.08062257617712021,4.194007396697998,3.9000000953674316,0.014227163046598434,0,242.39999389648438,37.539654,55.651522
1708009854306585300,33.08858544921875,0,0.08062257617712021,4.203427314758301,3.9000000953674316,0.01081316638737917,0,242.39999389648438,37.5396538,55.6515221
1708009855306537000,34.088536865234374,0,0.08062257617712021,4.21293830871582,3.9000000953674316,0.008126193657517433,0,242.39999389648438,37.5396537,55.6515222
