time,seconds_elapsed,z,y,x
1708009821490016300,0.272016357421875,-55.23749923706055,-32.60000228881836,16.625
1708009821499832000,0.28183203125,-54.38750076293945,-32.212501525878906,16.6875
1708009821509646000,0.29164599609375,-54.22500228881836,-32.212501525878906,16.6875
1708009821519459300,0.301459228515625,-54.5625,-32.32500076293945,16.837499618530273
1708009821529277200,0.311277099609375,-53.5625,-32.60000228881836,16.649999618530273
1708009821539091200,0.32109130859375,-53.775001525878906,-32.8125,17.075000762939453
1708009821548905700,0.33090576171875,-54.57500076293945,-32.29999923706055,16.98750114440918
1708009821558724400,0.340724365234375,-54.712501525878906,-32.337501525878906,16.5
1708009821568543500,0.35054345703125,-54.72500228881836,-32.47500228881836,16.649999618530273
1708009821578359000,0.360359130859375,-54.60000228881836,-33.11249923706055,16.725000381469727
1708009821588171500,0.370171630859375,-54.23749923706055,-33.275001525878906,16.23750114440918
1708009821597989400,0.3799892578125,-54.22500228881836,-32.625,16.3125
1708009821607807200,0.38980712890625,-54.5625,-32.60000228881836,16.625
1708009821617620500,0.399620361328125,-54.72500228881836,-32.60000228881836,16.475000381469727
1708009821627437000,0.40943701171875,-54.875,-32.212501525878906,16.6875
1708009821637253000,0.419253173828125,-54.38750076293945,-32.337501525878906,16.662500381469727
1708009821647064800,0.42906494140625,-54.41250228881836,-32.45000076293945,16.8125
1708009821656879600,0.438879638671875,-54.57500076293945,-32.85000228881836,16.762500762939453
1708009821666691300,0.44869140625,-54.72500228881836,-33.150001525878906,16.25
1708009821676504000,0.458504150390625,-54.5625,-32.73749923706055,16.462499618530273
1708009821686314500,0.468314453125,-54.53750228881836,-32.22500228881836,16.512500762939453
1708009821696129500,0.478129638671875,-54.375,-31.962499618530273,16.55000114440918
1708009821705946400,0.4879462890625,-54.23749923706055,-32.150001525878906,17.149999618530273
1708009821715763700,0.497763671875,-54.9375,-32.36249923706055,17.774999618530273
1708009821725584600,0.507584716796875,-54.95000076293945,-32.775001525878906,17.5625
1708009821735400200,0.517400146484375,-54.42499923706055,-33.11249923706055,16.725000381469727
1708009821745216000,0.527216064453125,-54.5625,-32.86249923706055,16.4375
1708009821755030500,0.537030517578125,-54.5625,-32.48749923706055,16.5
1708009821764844300,0.54684423828125,-54.53750228881836,-32.375,16.200000762939453
1708009821774659000,0.5566591796875,-54.22500228881836,-32.48749923706055,16.325000762939453
1708009821784474400,0.566474365234375,-54.22500228881836,-32.75,16.3125
1708009821794290000,0.5762900390625,-54.5625,-32.1875,16.837499618530273
1708009821804102400,0.586102294921875,-54.75,-32,17.48750114440918
1708009821813913900,0.595913818359375,-54.75,-32.4375,16.962499618530273
1708009821823731200,0.605731201171875,-54.04999923706055,-32.92499923706055,15.975000381469727
1708009821833544200,0.615544189453125,-54.375,-32.63750076293945,16.162500381469727
1708009821843356400,0.6253564453125,-55.275001525878906,-32.525001525878906,17.4375
1708009821853175300,0.63517529296875,-54.91250228881836,-32.962501525878906,16.912500381469727
1708009821862994700,0.64499462890625,-54.57500076293945,-32.97500228881836,16.73750114440918
1708009821872810500,0.654810546875,-54.75,-32.97500228881836,16.73750114440918
1708009821882628000,0.664628173828125,-54.72500228881836,-32.47500228881836,16.5
1708009821892447500,0.674447509765625,-54.712501525878906,-32.07500076293945,16.700000762939453
1708009821902269400,0.68426953125,-54.900001525878906,-32.32500076293945,16.8125
1708009821912092000,0.694091796875,-54.900001525878906,-32.29999923706055,16.98750114440918
1708009821921911800,0.703911865234375,-54.5625,-32.47500228881836,16.649999618530273
1708009821931732700,0.713732666015625,-54.26250076293945,-33.087501525878906,16.887500762939453
1708009821941552600,0.723552734375,-54.087501525878906,-32.8125,17.075000762939453
1708009821951373300,0.733373291015625,-54.900001525878906,-32.86249923706055,16.4375
1708009821961191400,0.74319140625,-55.0625,-33.275001525878906,16.23750114440918
1708009821971007700,0.7530078125,-54.57500076293945,-32.86249923706055,16.61250114440918
1708009821980821800,0.76282177734375,-54.72500228881836,-32.45000076293945,16.8125
1708009821990643000,0.772642822265625,-54.23749923706055,-32.60000228881836,16.625
1708009822000460300,0.782460205078125,-54.07500076293945,-32.32500076293945,16.837499618530273
1708009822010281000,0.792281005859375,-54.72500228881836,-32.03750228881836,17.024999618530273
1708009822020102100,0.80210205078125,-54.9375,-32.25,17.625
1708009822029927000,0.811927001953125,-54.45000076293945,-32.63750076293945,17.587499618530273
1708009822039750700,0.821750732421875,-54.5625,-32.47500228881836,16.649999618530273
1708009822049571800,0.83157177734375,-53.88750076293945,-32.36249923706055,16.512500762939453
1708009822059393500,0.8413935546875,-54.04999923706055,-32.36249923706055,16.512500762939453
1708009822069213200,0.851213134765625,-55.04999923706055,-32.07500076293945,16.700000762939453
1708009822079030300,0.8610302734375,-54.57500076293945,-32.13750076293945,17.475000381469727
1708009822088847400,0.870847412109375,-54.087501525878906,-32.82500076293945,16.92500114440918
1708009822098662700,0.88066259765625,-54.26250076293945,-32.962501525878906,16.912500381469727
1708009822108478500,0.890478515625,-53.775001525878906,-32.9375,17.0625
