time,seconds_elapsed,relativeAltitude,pressure
1708009821497279500,0.279279541015625,0,1005.0287475585938
1708009821537280000,0.319280029296875,0.3699188232421875,1004.9845581054688
1708009821577283600,0.35928369140625,0.626220703125,1004.9539794921875
1708009821617281300,0.39928125,0.449188232421875,1004.9749755859375
1708009821657281000,0.439281005859375,0.7688980102539062,1004.936767578125
1708009821697278700,0.47927880859375,0.7636184692382812,1004.9373779296875
1708009821737282600,0.519282470703125,0.7186965942382812,1004.94287109375
1708009821777279500,0.559279541015625,0.7239837646484375,1004.9420776367188
1708009821817283800,0.599283935546875,0.594512939453125,1004.957763671875
1708009821857278000,0.63927783203125,0.7424774169921875,1004.9401245117188
1708009821897281300,0.67928125,0.6869888305664062,1004.946533203125
1708009821937278000,0.71927783203125,0.7477645874023438,1004.9392700195312
1708009821977278500,0.759278564453125,0.6500015258789062,1004.951171875
1708009822017280800,0.79928076171875,0.6500015258789062,1004.951171875
1708009822057283800,0.839283935546875,0.8587417602539062,1004.9260864257812
1708009822097279700,0.87927978515625,0.7609710693359375,1004.9378051757812
1708009822137278500,0.919278564453125,0.7688980102539062,1004.9369506835938
1708009822177279200,0.959279296875,0.9063034057617188,1004.9205932617188
1708009822217284400,0.999284423828125,0.676422119140625,1004.947998046875
1708009822257276200,1.039276123046875,0.7794723510742188,1004.9354858398438
1708009822297278500,1.079278564453125,0.8270339965820312,1004.929931640625
1708009822337277200,1.119277099609375,0.7239837646484375,1004.9422607421875
1708009822377278500,1.159278564453125,0.6817092895507812,1004.9471435546875
1708009822417279700,1.19927978515625,0.6156463623046875,1004.9550170898438
1708009822457279000,1.239279052734375,0.7900390625,1004.9343872070312
1708009822497278000,1.27927783203125,0.8481674194335938,1004.9273681640625
1708009822537276400,1.3192763671875,0.6103668212890625,1004.9558715820312
1708009822577281800,1.35928173828125,0.8296737670898438,1004.9297485351562
1708009822617278500,1.399278564453125,0.8613815307617188,1004.9259033203125
1708009822657276400,1.4392763671875,0.7979660034179688,1004.9335327148438
1708009822697279000,1.479279052734375,0.676422119140625,1004.9478149414062
1708009822737273300,1.5192734375,1.0331268310546875,1004.9052734375
1708009822777279500,1.559279541015625,0.613006591796875,1004.9556274414062
1708009822817292300,1.599292236328125,0.7107696533203125,1004.9437255859375
1708009822857286700,1.63928662109375,0.7107696533203125,1004.9437255859375
1708009822897288000,1.679287841796875,0.7636184692382812,1004.9375610351562
1708009822937286700,1.71928662109375,0.626220703125,1004.9539794921875
1708009822977292300,1.759292236328125,0.7821121215820312,1004.9352416992188
1708009823017291300,1.799291259765625,1.0806884765625,1004.8997802734375
1708009823057280300,1.8392802734375,0.903656005859375,1004.9207763671875
1708009823097283800,1.879283935546875,0.6605682373046875,1004.9498901367188
1708009823137287000,1.919286865234375,0.7530441284179688,1004.9388427734375
1708009823177277200,1.959277099609375,0.6790618896484375,1004.9475708007812
1708009823217281300,1.99928125,0.7979660034179688,1004.933349609375
1708009823257290000,2.0392900390625,0.7477645874023438,1004.9395141601562
1708009823297281800,2.07928173828125,0.8323135375976562,1004.9293212890625
1708009823337277000,2.11927685546875,0.7847518920898438,1004.934814453125
1708009823377279000,2.159279052734375,0.8798751831054688,1004.9237670898438
1708009823417276400,2.1992763671875,0.8455276489257812,1004.9276123046875
1708009823457278000,2.23927783203125,0.9115829467773438,1004.9197387695312
1708009823497274400,2.2792744140625,0.8270339965820312,1004.929931640625
1708009823537290800,2.319290771484375,0.840240478515625,1004.928466796875
1708009823577279700,2.35927978515625,0.8270339965820312,1004.929931640625
1708009823617279500,2.399279541015625,0.7477645874023438,1004.9395141601562
1708009823657280000,2.439280029296875,0.7926788330078125,1004.9339599609375
1708009823697288700,2.479288818359375,0.8270339965820312,1004.929931640625
1708009823737283000,2.519282958984375,0.8455276489257812,1004.9276123046875
1708009823777287200,2.559287109375,0.8930892944335938,1004.9220581054688
1708009823817294000,2.599294189453125,1.1097564697265625,1004.8961791992188
1708009823857279500,2.639279541015625,0.9010162353515625,1004.9212036132812
1708009823897288000,2.679287841796875,0.9195098876953125,1004.9188842773438
1708009823937288200,2.7192880859375,1.112396240234375,1004.8959350585938
1708009823977291300,2.759291259765625,0.80853271484375,1004.9322509765625
1708009824017291500,2.79929150390625,0.985565185546875,1004.9110107421875
1708009824057277700,2.839277587890625,1.0859756469726562,1004.8991088867188
1708009824097276000,2.87927587890625,0.9617843627929688,1004.9140014648438
1708009824137282800,2.91928271484375,0.821746826171875,1004.9306030273438
1708009824177290500,2.95929052734375,0.948577880859375,1004.9154663085938
1708009824217290800,2.999290771484375,0.953857421875,1004.9148559570312
1708009824257280300,3.0392802734375,0.9089431762695312,1004.920166015625
1708009824297280800,3.07928076171875,0.8640213012695312,1004.9256591796875
1708009824337286000,3.119285888671875,1.075408935546875,1004.900390625
1708009824377287000,3.159286865234375,1.0067062377929688,1004.908447265625
1708009824417278200,3.1992783203125,0.9406509399414062,1004.9163208007812
1708009824457291300,3.239291259765625,0.8296737670898438,1004.9297485351562
1708009824497294300,3.27929443359375,0.7979660034179688,1004.9335327148438
1708009824537295400,3.31929541015625,0.8693084716796875,1004.9248657226562
1708009824577280500,3.359280517578125,1.0674819946289062,1004.9012451171875
1708009824617290000,3.3992900390625,1.1652450561523438,1004.8895874023438
1708009824657282000,3.439281982421875,0.98028564453125,1004.9116821289062
1708009824697282600,3.479282470703125,0.8508148193359375,1004.9271850585938
1708009824737281800,3.51928173828125,0.8640213012695312,1004.9254760742188
1708009824777284600,3.55928466796875,0.9882125854492188,1004.9105834960938
